name,ingredient,instructions
Cubeltini,"Cucumber 3.0 oz
Mint leaves 5.0 units
Simple syrup 1.5 oz
Vodka 2.0 oz
Lime juice 1.0 oz
Mint sprigs 1.0 units","Muddle the cucumber, mint leaves, and syrup. Add vodka and lime juice. Shake and strain into chilled cocktail glass. Garnish with mint sprig."
D'artagnan,"Armagnac 1.0 oz
Grand marnier 1.0 oz
Simple syrup 1.0 oz
Orange juice 0.5 oz
Chilled champagne 3.0 oz
Orange zest 1.0 units",Shake first four ingredients with ice and strain into champagne flute. Top with Champagne and insert orange zest strips to extend the length of the glass.
Daiquiri,"Light rum 2.0 oz
Lime juice 0.75 oz
Simple syrup 0.75 oz",Shake with ice and strain into a chilled cocktail glass.
Daiquiri Cocktail,"Lime juice 1.0 oz
Powdered sugar 1.0 oz
Old mr. boston rum 1.5 oz",Shake with ice and strain into cocktail glass.
Daisy Dueller,"Tennessee whiskey 2.0 oz
Lemon juice 0.75 oz
Simple syrup 0.75 oz
Triple sec 0.5 oz
Orange 1.0 units
Lemon wheels 1.0 units",Shake first four ingredients with ice. Strain into chilled highball glass. Add ice and fill with soda. Garnish with orange and lemon.
De La Louisiane,"Straight rye whiskey 0.75 oz
Sweet vermouth 0.75 oz
Benedictine 0.75 oz
Peychaud's bitters 3.0 oz
Maraschino cherry 1.0 units
Absinthe 3.0 oz",Stir with ice and strain into chilled cocktail glass. Garnish with cherry.
De La Louisiane with Pastis,"Pastis 3.0 oz
Straight rye whiskey 0.75 oz
Sweet vermouth 0.75 oz
Benedictine 0.75 oz
Peychaud's bitters 3.0 oz
Maraschino cherry 1.0 units",Stir with ice and strain into chilled cocktail glass. Garnish with cherry.
Deauville Cocktail,"Brandy 0.5 oz
Apple brandy 0.5 oz
Triple sec 0.5 oz
Lemon juice 0.5 oz
Dry vermouth 1.0 oz",Shake with ice and strain into chilled cocktail glass.
Delmonico No. 2,"Orange bitters 1.0 oz
Dry vermouth 1.0 oz
Gin 1.5 oz",Stir with ice and strain into cocktail glass. Add a twist of lemon peel.
Depth Bomb,"Apple brandy 1.0 oz
Brandy 1.0 oz
Lemon juice 1.0 oz
Grenadine 1.0 oz",Shake with ice and strain into ice-filled old-fashioned glass.
Derby,"Bourbon whiskey 2.0 oz
Benedictine 0.25 oz
Angostura bitters 1.0 oz
Lemon twist 1.0 units",Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Derby Fizz,"Lemon juice 0.5 oz
Powdered sugar 1.0 oz
Egg 1.0 units
Scotch 2.0 oz
Triple sec 1.0 oz",Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.
Desert Sunrise,"Vodka 1.25 oz
Orange juice 1.5 oz
Pineapple juice 1.5 oz
Grenadine 1.0 oz",Pour first three ingredients over crushed ice in Collins glass. Do not stir. Top with grenadine.
Deshler,"Straight rye whiskey 1.5 oz
Dubonnet rouge 0.5 oz
Triple sec 0.25 oz
Angostura bitters 2.0 oz",Stir with ice and strain into chilled champagne flute. Add lemon twist.
Devil's Cocktail,"Lemon juice 0.5 oz
Port 1.5 oz
Dry vermouth 1.5 oz",Stir with ice and strain into cocktail glass.
Devil's Soul,"Straight rye whiskey 1.5 oz
Mezcal 0.5 oz
Amaro 0.5 oz
Aperol 0.25 oz
Elderflower liqueur 0.25 oz
Orange wheel 1.0 units
Flamed 1.0 units",Stir with ice and strain into cocktail glass. Flame orange twist and add to glass.
Diablo,"Blanco tequila 1.5 oz
Creme de cassis 0.75 oz
Lime juice 0.5 oz
Lime wheels 1.0 units",Shake first three ingredients with ice. Strain into ice-filled Collins glass. Top with ginger ale. Garnish with lime.
Dillatini,"Gin 1.5 oz
Dry vermouth 0.75 oz",A Martini substituting a dilly bean in place of the olive. See Martini on page 130.
Dillatini Cocktail,"Mr. boston gin 1.5 oz
Dry vermouth 0.75 oz",Serve with a dilly bean.
Dinah Cocktail,"Bourbon whiskey 1.5 oz
Lemon juice 0.75 oz
Simple syrup 0.5 oz
Mint leaves 1.0 units",Shake well with ice and strain into chilled cocktail glass. Garnish with mint.
Diplomat Cocktail,"Dry vermouth 1.5 oz
Sweet vermouth 0.5 oz
Bitters 2.0 oz
Maraschino 0.5 oz",Stir with ice and strain into cocktail glass. Serve with a half slice of lemon and a cherry.
Dirty Daisy,"Reposado tequila 1.5 oz
White curacao 1.0 oz
Olive brine 0.5 oz
Balsamic vinegar 1.0 oz
Lime juice 1.0 oz",Shake well with ice and strain into chilled cocktail glass. Garnish with lime wheel.
Dirty Harry,"Absinthe 1.0 oz
Straight rye whiskey 2.0 oz
Sweet vermouth 0.5 oz
Maraschino liqueur 0.25 oz",Swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. Stir remaining ingredients with ice and strain into glass. Garnish with cherry.
Dixie Cocktail,"Juice of orange 0.25 oz
Anisette 1.0 oz
Dry vermouth 0.5 oz
Gin 1.0 oz",Shake with ice and strain into cocktail glass.
Dixie Julep,"Powdered sugar 1.0 oz
Bourbon 2.5 oz",Put sugar and bourbon into collins glass. Fill with crushed ice and stir gently until glass is frosted. Decorate with sprigs of mint. Serve with straws.
Dixie Whiskey Cocktail,"Bourbon whiskey 2.0 oz
White creme de menthe 0.5 oz
Triple sec 0.5 oz
Simple syrup 0.25 oz
Angostura bitters 1.0 oz",Shake with ice and strain into chilled cocktail glass.
Doctor Cook,"Gin 0.75 oz
Lemon juice 1.0 oz
Maraschino 1.0 oz
Egg white 1.0 units",Shake with ice and strain into wine glass.
Dolores,"Brandy 1.0 oz
Preferably spanish 1.0 oz
Cherry liqueur 1.0 oz
Egg white 1.0 units
Freshly grated nutmeg 1.0 units
White 1.0 oz",Shake without ice. shake with ice and strain into a chilled champagne flute. Top with nutmeg.
Dolores with Dark creme de cacao,"Dark creme de cacao 1.0 oz
Brandy 1.0 oz
Preferably spanish 1.0 oz
Cherry liqueur 1.0 oz
Egg white 1.0 units
Freshly grated nutmeg 1.0 units",Shake without ice. shake with ice and strain into a chilled champagne flute. Top with nutmeg.
Double Standard Sour,"Gin 0.75 oz
Lemon juice 1.0 oz
White creme de menthe 0.5 oz
Grenadine 0.5 oz
Simple syrup 0.25 oz
Rye 0.75 oz",Shake with ice and strain into chilled cocktail glass. Garnish with lemon and cherry.
Double Standard Sour with Bourbon whiskey,"Bourbon whiskey 0.75 oz
Gin 0.75 oz
Lemon juice 1.0 oz
White creme de menthe 0.5 oz
Grenadine 0.5 oz
Simple syrup 0.25 oz",Shake with ice and strain into chilled cocktail glass. Garnish with lemon and cherry.
Dr. Cook,"Mr. boston gin 0.75 oz
Lemon juice 1.0 oz
Maraschino 1.0 oz
Egg white 1.0 units",Shake with ice and strain into wine glass.
Dream Cocktail,"Brandy 1.5 oz
Triple sec 0.75 oz
Anisette 1.0 oz",Shake with ice and strain into chilled cocktail glass.
Dreamy Dorini Smoking Martini,"Vodka 2.0 oz
Smoky scotch 0.5 oz
Such as laphroaig 0.5 oz
Pastis 4.0 oz",Stir with ice and strain into a chilled cocktail glass. Add lemon twist.
Dry Martini,"Mr. boston gin 1.666666667 oz
Dry vermouth 0.333333333 oz",serve with an olive. 
Dry Martini (5-to-1),"Gin 1.666666667 oz
Dry vermouth 0.333333333 oz","Stir vermouth and gin over ice cubes in mixing glass. Strain into cocktail glass. Serve with a twist of lemon peel or olive, if desired."
Du Barry Cocktail,"Bitters 1.0 oz
Dry vermouth 0.75 oz
Anisette 0.5 oz
Gin 1.5 oz",Stir with ice and strain into cocktail glass. Add a slice of orange.
Dubliner,"Irish whiskey 2.0 oz
Sweet vermouth 0.5 oz
Grand marnier 0.5 oz
Orange bitters 2.0 oz",Stir with ice and strain into chilled cocktail glass. Flame orange twist and add.
Dubonnet Cocktail,"Dubonnet 1.5 oz
Gin 0.75 oz",Stir with ice and strain into cocktail glass. Add a twist of lemon peel.
Dubonnet Fizz,"Juice of orange 0.5 oz
Lemon juice 0.25 oz
Cherry-flavored brandy 1.0 oz
Dubonnet 2.0 oz",Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.
Dubonnet Highball,"Dubonnet 2.0 oz
Ginger ale 3.0 oz","Put Dubonnet in highball glass with two ice cubes and fill with ginger ale. Add a twist of lemon peel, if desired, and stir."
Dufftown Flip,"Blended scotch whiskey 2.0 oz
Port 0.5 oz
Demerara syrup 0.5 oz
Almond milk 0.5 oz
Egg 1.0 units
Freshly grated nutmeg 1.0 units",Shake without ice. Then shake with ice and strain into snifter. Top with nutmeg.
Duke Cocktail,"Triple sec 0.5 oz
Orange juice 1.0 oz
Lemon juice 2.0 oz
Maraschino 0.5 oz
Egg 1.0 units
Chilled champagne 3.0 oz","Add first five ingredients, shake with ice. and strain into champagne flute. Fill with chilled champagne and stir."
East India Cocktail No. 1,"Brandy 1.5 oz
Jamaica rum 0.5 oz
Triple sec 0.5 oz
Pineapple juice 0.5 oz
Angostura bitters 1.0 oz
Lemon twist 1.0 units
Maraschino cherry 1.0 units",Shake with ice and strain into chilled cocktail glass. Add lemon twist and cherry.
Easter Elchies,"Single-malt scotch whisky 2.0 oz
Cherry heering 0.5 oz
Punt e mes 0.5 oz
Orange bitters 1.0 oz",Stir with ice and strain into chilled cocktail glass. Garnish with brandied cherry.
Eastern Sour,"Bourbon whiskey 2.0 oz
Orange juice 1.5 oz
Lime juice 1.0 oz
Simple syrup 0.25 oz
Orange 1.0 units
Lime wheels 1.0 units
Orgeat 0.25 oz",Shake with ice and strain into ice-filled highball glass. Garnish with orange and lime.
Eastern Sour with Almond syrup,"Almond syrup 0.25 oz
Bourbon whiskey 2.0 oz
Orange juice 1.5 oz
Lime juice 1.0 oz
Simple syrup 0.25 oz
Orange 1.0 units
Lime wheels 1.0 units",Shake with ice and strain into ice-filled highball glass. Garnish with orange and lime.
Easterner,"Straight rye whiskey 2.0 oz
Fresh grapefruit juice 1.0 oz
Maple syrup 0.5 oz
Grapefruit twist 1.0 units",Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.
Egg Sour,"Egg 1.0 units
Powdered sugar 1.0 oz
Lemon juice 0.5 oz
Brandy 2.0 oz
Triple sec 0.25 oz",Shake with ice and strain into old-fashioned glass.
Eggnog Supreme,"Egg 1.0 units
Sugar 1.0 oz
Whole milk 1.5 oz
Heavy cream 1.0 oz
Whipped 1.0 oz
Cognac 59.0 oz
Powdered nutmeg 1.0 units","Separate eggs; beat yolks in large serving bowl, adding sugar while beating. Stir in milk and cream. Slowly add cognac and refrigerate for 1 hour. Before serving, whip egg whites stiff. Mix into eggnog, dust with nutmeg."
El Molino,"Mezcal 1.5 oz
Allspice liqueur (pimento dram) 0.25 oz
White creme de cacao 0.25 oz
Palo cortado 0.75 oz",Stir with ice and strain into chilled cocktail glass.
El Molino with Oloroso sherry,"Oloroso sherry 0.75 oz
Mezcal 1.5 oz
Allspice liqueur (pimento dram) 0.25 oz
White creme de cacao 0.25 oz",Stir with ice and strain into chilled cocktail glass.
El Ni_o,"Lime wedges 6.0 units
Strawberries 1.0 units
Simple syrup 0.75 oz
Blanco tequila 2.0 oz
Rose water 5.0 oz","Muddle lime, strawberry, and syrup in mixing glass. Add tequila and rose water and ice. Shake briefly and strain into ice-filled oldfashioned glass."
El Oso (The Bear),"Anejo tequila 1.75 oz
Honey liqueur 0.75 oz
Maraschino liqueur 0.5 oz
The bitter truth's jerry thomas' own decanter bitters 2.0 oz
Dehydrated orange wheel 1.0 units",Stir with ice. Drop dehydrated orange wheel into old-fashioned glass and add ice. Strain cocktail into glass.
El Presidente Cocktail No. 2,"Light rum 1.5 oz
Dry vermouth 0.75 oz
Angostura bitters 1.0 oz",Stir with ice and strain into chilled cocktail glass.
El Profesor,"Pisco 1.0 oz
Punt e mes 0.5 oz
Benedictine 0.5 oz
Aromatic bitters 2.0 oz
Lemon twist 1.0 units",Stir with ice and strain into chilled old-fashioned glass. Add lemon twist.
Electric Jam,"Vodka 1.25 oz
Blue curacao 0.5 oz
Simple syrup 1.0 oz
Lemon juice 1.0 oz
Lime soda 1.0 units",Pour first four ingredients into ice-filled Collins glass. Fill with lemon-lime soda and stir.
Elk's Own Cocktail,"Egg white 1.0 units
Blended whiskey 1.5 oz
Port 0.75 oz
Lemon juice 0.25 oz
Powdered sugar 1.0 oz",Shake with ice and strain into cocktail glass. Add a strip of pineapple.
Emerald Isle Cocktail,"Gin 2.0 oz
Green creme de menthe 1.0 oz
Bitters 3.0 oz",Stir with ice and strain into cocktail glass.
Emperor Norton's Mistress,"Strawberries 3.0 units
Bourbon whiskey 1.5 oz
Vanilla liqueur 0.5 oz
Triple sec 0.25 oz",Muddle halved strawberries in mixing glass. Add remaining ingredients. Shake with ice and double-strain into ice-filled oldfashioned glass. Garnish with strawberry slice.
Ethel Duffy Cocktail,"Apricot flavored brandy 0.75 oz
White creme de menthe 0.75 oz
Triple sec 0.75 oz",Shake with ice and strain into chilled cocktail glass.
Everybody's Irish Cocktail,"Irish whiskey 2.0 oz
Green creme de menthe 1.0 oz
Green chartreuse 1.0 oz
Green olive 1.0 oz",Stir with ice and strain into chilled cocktail glass. Garnish with olive.
Eye-Opener,"Egg yolk 1.0 units
Powdered sugar 0.5 oz
Anis 1.0 oz
Triple sec 1.0 oz
White creme de cacao 1.0 oz
Light rum 2.0 oz",Shake with ice and strain into sour glass.
Fair-and-Warmer Cocktail,"Light rum 1.5 oz
Sweet vermouth 0.75 oz
Triple sec 0.5 oz",Stir with ice and strain into chilled cocktail glass.
Fairy Belle Cocktail,"Egg white 1.0 units
Grenadine 1.0 oz
Apricot-flavored brandy 0.75 oz
Gin 1.5 oz",Shake with ice and strain into cocktail glass.
Fallen Angel Cocktail,"Lime juice 1.0 oz
Old mr. boston dry gin 1.5 oz
Bitters 1.0 oz
Old mr. boston white creme de menthe 0.5 oz",Shake with ice and strain into cocktail glass. Serve with a cherry.
Fallen Leaves,"Calvados 0.75 oz
Sweet vermouth 0.75 oz
Dry vermouth 0.25 oz
Brandy 1.0 oz",Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Fancy Brandy,"Brandy 2.0 oz
Triple sec 0.25 oz
Simple syrup 0.25 oz
Angostura bitters 1.0 oz",Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Fancy Brandy Cocktail,"Old mr. boston five star brandy 2.0 oz
Bitters 1.0 oz
Old mr. boston triple sec 0.25 oz
Powdered sugar 0.25 oz",Shake with ice and strain into cocktail glass. Add a twist of lemon peel.
Fancy Whiskey,"Angostura bitters 1.0 oz
Triple sec 0.25 oz
Simple syrup 0.25 oz
Lemon twist 1.0 units
Bourbon 2.0 oz",Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Fancy Whiskey with Rye whiskey,"Rye whiskey 2.0 oz
Angostura bitters 1.0 oz
Triple sec 0.25 oz
Simple syrup 0.25 oz
Lemon twist 1.0 units",Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Fancy-Free Cocktail,"Bourbon whiskey 2.0 oz
Maraschino liqueur 0.5 oz
Angostura bitters 1.0 oz
Orange bitters 1.0 oz",Stir with ice and strain into chilled cocktail glass.
Fantasio Cocktail,"Brandy 1.0 oz
Dry vermouth 0.75 oz
White creme de menthe 1.0 oz
Maraschino liqueur 1.0 oz",Stir with ice and strain into chilled cocktail glass.
Farmer's Cocktail,"Gin 1.0 oz
Dry vermouth 0.5 oz
Sweet vermouth 0.5 oz
Bitters 2.0 oz",Stir with ice and strain into cocktail glass.
Fat Like Buddha,"Dark rum 2.0 oz
Dubonnet rouge 0.75 oz
Benedictine 0.25 oz
Triple sec 0.25 oz
Orange wheel 1.0 units
Flamed 1.0 units",Stir with ice and strain into chilled cocktail glass. Flame orange twist and add.
Favorite Cocktail,"Apricot flavored brandy 0.75 oz
Dry vermouth 0.75 oz
Gin 0.75 oz
Lemon juice 0.25 oz",Shake with ice and strain into cocktail glass.
Favourite Cocktail,"Apricot flavored brandy 0.75 oz
Dry vermouth 0.75 oz
Lemon juice 0.75 oz
Gin 0.25 oz",Shake with ice and strain into cocktail glass.
Fifty-Fifty Cocktail,"Gin 1.5 oz
Dry vermouth 1.5 oz",Stir with ice and strain into cocktail glass.
Fireman's Sour,"Light rum 2.0 oz
Lime juice 2.0 oz
Simple syrup 0.25 oz
Grenadine 0.25 oz
Soda water 3.0 oz
Lemon wheels 0.5 units
Maraschino cherry 1.0 units","Shake first four ingredients with ice and strain into chilled old-fashioned glass. Fill with soda water, if desired. Garnish with lemon and cherry."
Flatiron Martini,"Splash triple sec 1.0 oz
Orange-flavored vodka 1.5 oz
Lillet blanc 1.5 oz",Swirl triple sec in chilled cocktail glass to coat inside; discard excess triple sec. Stir vodka and Lillet with ice and strain into glass. Garnish with orange.
Floridita No. 1,"Light rum 1.5 oz
Lime juice 0.5 oz
Sweet vermouth 0.5 oz
White creme de cacao 1.0 oz
Grenadine 1.0 oz
Lime twist 1.0 units",Shake with ice and strain into chilled cocktail glass. Add lime twist.
Floridita No. 3,"Light rum 2.0 oz
Lime juice 0.75 oz
Grapefruit juice 0.5 oz
Maraschino liqueur 0.5 oz
Simple syrup 0.5 oz
Lime wheels 1.0 units",Shake with ice and strain into chilled champagne flute. Garnish with lime wheel.
Flower Power,"Blanco tequila 2.0 oz
Grapefruit juice 1.0 oz
Agave nectar 0.5 oz
Egg white 1.0 units
Orange blossom water 3.0 oz
Peychaud's bitters 2.0 oz",Shake without ice. Then shake with ice and strain into chilled cocktail glass.
Flying Dutchman,"Gin 2.0 oz
Triple sec 1.0 oz",Shake with ice and strain into old-fashioned glass over ice cubes.
Flying Grasshopper Cocktail,"Old mr. boston green creme de menthe 0.75 oz
Old mr. boston white creme de cacao 0.75 oz
Old mr. boston vodka 0.75 oz",Stir with ice and strain into cocktail glass.
Flying Scotchman,"Blended scotch whiskey 1.0 oz
Sweet vermouth 1.0 oz
Angostura bitters 1.0 oz
Simple syrup 0.25 oz",Stir with ice and strain into chilled cocktail glass.
Flying Scotchman Cocktail,"Sweet vermouth 1.0 oz
Desmond & duff scotch whisky 1.0 oz
Bitters 1.0 oz
Sugar syrup 0.25 oz",Stir with ice and strain into cocktail glass.
Fog Cutter,"Light rum 1.5 oz
Brandy 0.5 oz
Gin 0.5 oz
Lemon juice 1.5 oz
Orange juice 1.0 oz
Sweet sherry 1.0 oz
Almond 1.5 oz",Shake first six ingredients with ice and strain into ice-filled Collins glass. Top with sherry.
Fog Cutter with Orgeat syrup,"Orgeat syrup 1.5 oz
Light rum 1.5 oz
Brandy 0.5 oz
Gin 0.5 oz
Lemon juice 1.5 oz
Orange juice 1.0 oz
Sweet sherry 1.0 oz",Shake first six ingredients with ice and strain into ice-filled Collins glass. Top with sherry.
Fog Horn,"Lime juice 0.5 oz
Gin & ginger ale 1.5 oz
Gin 2.0 oz
Triple sec 1.0 oz",Pour into highball glass over ice cubes. Fill with ginger ale. Stir. Add a slice of lime.
Fontainebleau Special,"Brandy 1.0 oz
Anisette 1.0 oz
Dry vermouth 0.5 oz",Shake with ice and strain into chilled cocktail glass.
Fort Lauderdale,"Light rum 1.5 oz
Sweet vermouth 0.5 oz
Juice of orange 0.25 oz
Lime juice 0.25 oz",Shake with ice and strain into old-fashioned glass over ice cubes. Add a slice of orange.
Fox River Cocktail,"Dark creme de cacao 0.5 oz
Angostura bitters 4.0 oz
Bourbon 2.0 oz",Stir with ice and strain into chilled cocktail glass.
Fox River Cocktail with Rye whiskey,"Rye whiskey 2.0 oz
Dark creme de cacao 0.5 oz
Angostura bitters 4.0 oz",Stir with ice and strain into chilled cocktail glass.
Francis The Mule,"Bourbon whiskey 2.0 oz
Coffee liqueur 0.5 oz
Lemon juice 0.5 oz
Orange bitters 2.0 oz
Lemon twist 1.0 units
Orgeat 0.25 oz",Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Francis The Mule with Almond syrup,"Almond syrup 0.25 oz
Bourbon whiskey 2.0 oz
Coffee liqueur 0.5 oz
Lemon juice 0.5 oz
Orange bitters 2.0 oz
Lemon twist 1.0 units",Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Frankenjack Cocktail,"Gin 1.0 oz
Dry vermouth 0.75 oz
Apricot flavored brandy 0.5 oz
Triple sec 1.0 oz
Lime juice 0.5 oz
Gin & ginger ale 1.5 oz",Stir with ice and strain into cocktail glass. Serve with a cherry.
Fratelli Cocktail,"Straight rye whiskey 2.0 oz
Sweet vermouth 0.5 oz
Yellow chartreuse 0.5 oz
Fernet-branca 0.25 oz",Stir with ice and strain into chilled cocktail glass.
Free Silver,"Lemon juice 0.25 oz
Powdered sugar 0.5 oz
Gin 1.5 oz
Dark rum 0.5 oz
Milk 1.0 oz
Club soda 1.0 units",Shake with ice and strain into collins glass over ice cubes. Fill with club soda.
French Martini,"Vodka 1.5 oz
Black raspberry liqueur 0.75 oz
Pineapple juice 0.75 oz",Shake with ice and strain into chilled cocktail glass.
French Quarter,"Brandy 2.0 oz
Lillet blanc 0.75 oz
Lemon wheels 0.25 units",Stir with ice and strain into chilled cocktail glass. Garnish with lemon.
Frisco Sour,"Lemon juice 0.75 oz
Lime juice 0.5 oz
Benedictine 0.5 oz
Lemon 1.0 units
Lime wheels 1.0 units
Bourbon 2.0 oz",Shake with ice and strain into chilled sour glass. Garnish with lemon and lime.
Frisco Sour with Rye whiskey,"Rye whiskey 2.0 oz
Lemon juice 0.75 oz
Lime juice 0.5 oz
Benedictine 0.5 oz
Lemon 1.0 units
Lime wheels 1.0 units",Shake with ice and strain into chilled sour glass. Garnish with lemon and lime.
Frisky Witch,"Vodka 1.0 oz
Sambuca 1.0 oz
Black licorice stick 1.0 units",Stir in old-fashioned glass. Add ice and stir again. Garnish with licorice.
Frostbite,"Blanco tequila 1.0 oz
White creme de cacao 0.75 oz
Heavy cream 0.75 oz",Shake with ice and strain into chilled cocktail glass. Top with nutmeg.
Froth Blower Cocktail,"Egg white 1.0 units
Gin 2.0 oz
Grenadine 1.0 oz",Shake with ice and strain into cocktail glass.
Froupe Cocktail,"Brandy 1.5 oz
Sweet vermouth 1.5 oz
Benedictine 1.0 oz",Stir with ice and strain into chilled cocktail glass.
Frozen Apple,"Applejack 1.5 oz
Lime juice 1.0 oz
Sugar 1.0 oz
Egg white 0.5 units",Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.
Frozen Brandy and Rum,"Brandy 1.5 oz
Light rum 1.0 oz
Lemon juice 1.0 oz
Egg yolk 1.0 units
Powdered sugar 1.0 oz",Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.
Gables Collins,"Vodka 1.5 oz
Creme de noyaux 1.0 oz
Lemon juice 0.5 oz
Pineapple juice 0.5 oz
Soda water 3.0 oz
Lemon wheels 1.0 units
Pineapple chunk 1.0 units",Shake first four ingredients with ice and strain into ice-filled Collins glass. Fill with soda water. Garnish with lemon and pineapple.
Gaugin,"Light rum 2.0 oz
Lemon juice 0.5 oz
Lime juice 0.5 oz
Passion fruit syrup 0.5 oz
Maraschino cherry 1.0 units",Combine ingredients with 1 cup crushed ice in blender on low speed. Serve in chilled old-fashioned glass. Add cherry.
Gauguin,"Light rum 2.0 oz
Passion fruit syrup 1.0 oz
Lemon juice 1.0 oz
Lime juice 1.0 oz",Combine ingredients with a cup of crushed ice in blender and blend at low speed. Serve in old-fashioned glass. Top with a cherry.
General Harrison's Eggnog,"Egg 1.0 units
Powdered sugar 1.0 oz
Red wine 10.0 oz",Shake with ice and strain into collins glass. Fill glass with red wine and stir. Sprinkle nutmeg on top.
Gentle Ben,"Vodka 1.0 oz
Gin 1.0 oz
Blanco tequila 1.0 oz
Orange wheel 1.0 units
Maraschino cherry 1.0 units",Shake first three ingredients with ice and pour into ice-filled Collins glass. Fill with orange juice and stir. Garnish with orange and cherry.
Gentleman's Cocktail,"Bourbon 1.5 oz
Brandy 0.5 oz
Creme de menthe 0.5 oz
Club soda 1.0 units","Pour bourbon, brandy, and creme de menthe over ice into highball glass. Add club soda and garnish with a lemon twist."
Georgia Mint Julep,"Mint sprigs 2.0 units
Simple syrup 0.25 oz
Brandy 1.5 oz
Peach-flavored brandy 1.0 oz",Muddle mint and syrup in Collins glass. Fill with ice. Add brandy and peach-flavored brandy. Stir and garnish with additional mint.
Georgia Mule,"Peach slices 1.0 units
Skinned 1.0 oz
Vodka 1.5 oz
Lemon juice 0.5 oz
Peach bitters 2.0 oz
Ginger beer 3.0 oz
Peach slices 1.0 units","Muddle 1 peach slice in Collins glass. Add vodka, lemon juice, and bitters, then stir. Fill with ice and ginger beer; stir again. Garnish with peach slice."
Georgia Peach,"Vodka 1.5 oz
Peach schnapps 0.5 oz
Grenadine 1.0 oz",Stir first three ingredients in Collins glass. Add ice and stir again. Fill with lemonade.
Gilchrist,"Blended scotch whiskey 1.5 oz
Pear brandy 0.75 oz
Grapefruit juice 0.75 oz
Amaro 0.5 oz
Grapefruit bitters 2.0 oz
Lemon twist 1.0 units",Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Gilroy Cocktail,"Cherry-flavored brandy 0.75 oz
Gin 0.75 oz
Dry vermouth 0.5 oz
Lemon juice 0.5 oz
Orange bitters 1.0 oz",Shake with ice and strain into chilled cocktail glass.
Gimlet,"Lime juice 1.0 oz
Powdered sugar 1.0 oz
Gin 1.5 oz",Shake with ice and strain into cocktail glass.
Gimlet Cocktail,"Rose's lime juice 1.0 oz
Powdered sugar 1.0 oz
Old mr. boston dry gin 1.5 oz",Shake with ice and strain into cocktail glass.
Gin Cocktail,"Gin 2.0 oz
Bitters 2.0 oz",Stir with ice and strain into cocktail glass. Serve with a twist of lemon peel.
Gin Milk Punch,"Powdered sugar 1.0 oz
Gin 2.0 oz
Milk 1.0 oz","Shake with ice, strain into collins glass, and sprinkle nutmeg on top."
Gin Sling,"Powdered sugar 1.0 oz
Lemon juice 0.5 oz
Gin 2.0 oz",Dissolve sugar in water and lemon juice. Add gin. Pour into old-fashioned glass over ice cubes and stir. Add a twist of orange peel.
Gin and It,"Gin 2.0 oz
Sweet vermouth 1.0 oz",Stir ingredients in cocktail glass. (No ice is used in this drink.)
Gin and Milk Punch,"Powdered sugar 1.0 oz
Mr. boston gin 2.0 oz
Milk 1.0 oz","Shake with ice, strain into collins glass, and sprinkle nutmeg on top."
Ginger Grapefruit Rickey,"Light rum 2.0 oz
Fresh grapefruit juice 2.0 oz
Ginger liqueur 1.0 oz
Lime juice 0.5 oz
Soda water 3.0 oz",Shake first four ingredients with ice. Strain into ice-filled highball glass and top with soda water.
Glass Tower,"Vodka 1.0 oz
Peach schnapps 1.0 oz
White rum 1.0 oz
Triple sec 1.0 oz
Sambuca 0.5 oz
Lime soda 1.0 units
Orange wheel 1.0 units
Maraschino cherry 1.0 units","Pour first five ingredients into Collins glass. Add ice, then fill with lemon-lime soda and stir. Garnish with orange and cherry."
Glogg,"Wine 90.0 oz
Cream sherry 90.0 oz
Claret 90.0 oz
Burgundy 90.0 oz
Dried orange peel 2.0 oz
Cinnamon sticks 2.0 oz
Cloves 25.0 units","Pour the wine into a kettle. Insert cheesecloth bag containing remaining ingredients and boil slowly for 15 minutes, stirring occasionally. Add 1 lb. each blanched almonds and seedless raisins and continue to boil for additional 15 minutes. Remove kettle from stove and place wire grill containing 1 lb. lump sugar over opening. Pour one 750-ml Brandy over sugar, making sure to saturate all of it. Then light sugar with match and let it flame. After sugar has melted, replace kettle cover to extinguish flame. Stir again and remove spice bag. Serve hot in punch cups with a few almonds and raisins."
Gloom Lifter,"Blended whiskey 1.0 oz
Brandy 0.5 oz
Lemon juice 0.5 oz
Raspberry syrup 1.0 oz
Sugar 0.5 oz
Egg white 0.5 units",Shake with ice and strain into highball glass with ice cubes.
